customer_id,declared_occupation,annual_income_brl,risk_rating,risk_score,iso_score,xgb_prob,final_score,risk_tier,max_income_ratio,min_geojump_min,n_struct_txs,n_vpn_txs,total_vol,n_txs,n_crossborder,fanout_ratio,n_geojumps,n_sanctions_hits,kyc_risk_score
C100955,Student,7383.0,Medium,6,0.6677141617171644,0.9908806,0.8939306387434208,CRITICAL,27.01,2.04,1,0,155689.26,29,5,47.4451,4,0,25.0
C101530,Student,40830.0,Low,6,0.6517770493379678,0.9975222,0.8937986077174975,CRITICAL,5.25,1.09,0,2,131547.92,24,6,53.2802,2,0,68.0
C100424,Student,9278.0,Medium,9,0.649896094432854,0.998168,0.8936864224765847,CRITICAL,25.94,4.85,0,2,79205.03,27,6,0.0,8,0,63.0
C101532,Teacher,11348.0,Low,8,0.6405043673063191,0.99914634,0.8915537617070934,CRITICAL,48.36,25.91,0,4,154427.86,29,9,0.0,1,0,51.0
C100134,Student,33963.0,Low,9,0.6377743644333688,0.99885,0.8905272770767453,CRITICAL,16.24,25.92,0,3,152158.34,22,4,28.7851,1,0,36.0
C100302,Dentist,40665.0,Medium,5,0.6454782492955504,0.9949556,0.8901123645019524,CRITICAL,4.71,7.17,1,3,119056.5,28,11,3.5472,1,0,91.0
C101208,Chef,13047.0,Low,11,0.6358478198950483,0.99881613,0.8899256506712733,CRITICAL,31.64,4.06,0,2,150178.09,29,9,0.0,4,1,51.0
C100951,Teacher,2161.0,Low,7,0.6351854933145437,0.9971853,0.8885853449357388,CRITICAL,93.84,27.65,0,2,83563.41,16,3,13.8334,2,0,29.0
C102371,Accountant,58243.0,Low,7,0.6338825914384063,0.99754274,0.8884446946716646,CRITICAL,12.32,19.27,0,3,108516.8,12,2,7.0216,1,0,47.0
C100456,Freelancer,5896.0,Low,7,0.6314049718123624,0.9980909,0.8880851434869155,CRITICAL,39.91,21.43,0,2,126734.45,24,5,0.0,1,0,75.0
C102393,Student,14371.0,High,8,0.6371951925173736,0.99547344,0.8879899629180233,CRITICAL,5.96,4.71,0,1,62724.95,21,8,11.7481,5,0,68.0
C100238,Store Owner,4591.0,Medium,7,0.6304780499050251,0.99818194,0.8878707842799792,CRITICAL,38.25,15.4,0,1,82587.61,27,8,92.7781,2,0,72.0
C101038,Dentist,22794.0,Low,9,0.6374630323819701,0.99491113,0.8876766858033056,CRITICAL,37.29,2.52,0,1,144584.85,24,4,8.9265,3,0,90.0
C101634,Store Owner,60480.0,Medium,5,0.6291929679363863,0.99648774,0.8862993060722917,CRITICAL,3.99,17.37,0,3,113538.23,28,7,8.6544,1,0,88.0
C100797,Trader,15784.0,Medium,6,0.6400893869942454,0.9913617,0.8859799725695261,CRITICAL,10.7,2.63,1,1,128386.49,29,9,62.5279,5,0,67.0
C101669,Driver,19270.0,Low,8,0.6240776365680053,0.99818075,0.8859498258138464,CRITICAL,23.76,6.23,1,6,169408.77,25,4,0.0,2,0,56.0
C101658,Driver,24272.0,Low,6,0.6302827131642403,0.99441105,0.8851725319592209,CRITICAL,4.42,13.8,0,2,107818.34,30,5,77.6885,2,0,61.0
C101018,Freelancer,19683.0,Medium,7,0.6205252882608078,0.9982951,0.8849641703596205,CRITICAL,25.03,16.59,0,1,174869.43,28,5,28.584,1,0,14.0
C101338,Teacher,8483.0,Medium,7,0.6165919258140807,0.99886584,0.884183631954887,CRITICAL,85.38,16.86,0,3,131242.31,23,6,0.0,2,0,52.0
C100262,Consultant,17154.0,Low,7,0.6166376849683072,0.9969797,0.8828771168193801,CRITICAL,31.7,13.64,0,5,157504.91,24,8,85.6574,2,0,50.0
C101251,Consultant,3064.0,Low,6,0.6174411485120364,0.9960055,0.8824361595369788,CRITICAL,123.38,4.24,0,0,113465.81,17,7,21.9689,1,0,8.0
C100472,Freelancer,23044.0,Low,8,0.6095101712248039,0.9991673,0.8822701656252536,CRITICAL,22.09,13.2,0,1,134207.25,22,4,0.0,2,0,55.0
C101035,Chef,3090.0,High,6,0.6834201961206501,0.96622777,0.8813854738905162,CRITICAL,128.6,9999.0,2,0,107003.15,16,2,36.6111,0,0,46.0
C101166,Software Engineer,10815.0,High,9,0.6028868012001816,0.9998889,0.8807882443776937,CRITICAL,37.62,25.15,1,1,103852.32,23,4,5.0862,1,0,33.0
C101288,Lawyer,13808.0,Low,7,0.6066382513990249,0.9978206,0.8804658826157524,CRITICAL,51.56,9.18,0,2,101629.53,19,2,0.0,1,0,23.0
C100136,Designer,12490.0,Medium,13,0.5983282780116793,0.99990046,0.8794287936528324,CRITICAL,22.81,9.86,2,3,109861.5,19,4,4.5221,2,0,47.0
C101001,Lawyer,14814.0,High,7,0.6295322785004098,0.9858316,0.8789418163664376,CRITICAL,43.13,2.57,0,0,142287.05,18,3,63.2836,2,0,75.0
C100335,Entrepreneur,21558.0,Low,8,0.6027510055836685,0.99668545,0.8785051193516447,CRITICAL,33.85,24.5,0,1,158908.76,25,5,4.1035,1,0,81.0
C100949,Teacher,6144.0,Medium,7,0.5960534495100256,0.9980001,0.8774160886402391,CRITICAL,105.22,2.8,0,1,127208.73,21,2,10.8652,1,0,59.0
C101278,Student,8123.0,Low,8,0.5949362304783599,0.9981713,0.8772007878713827,CRITICAL,75.28,14.06,0,3,139128.33,25,4,1.4074,1,0,86.0
C102389,Freelancer,6411.0,Medium,7,0.5929477461920916,0.9978556,0.876383228562675,CRITICAL,78.29,12.64,0,4,147512.12,24,5,66.9163,1,0,71.0
C100151,Store Owner,8637.0,Low,7,0.5912579140637397,0.9983725,0.8762381387226009,CRITICAL,21.87,22.59,0,2,131052.59,27,4,0.0,1,0,53.0
C100158,Consultant,77396.0,Medium,5,0.5893368580644087,0.99653494,0.8743754940839039,CRITICAL,1.58,1.57,0,4,47761.16,13,4,1.6914,1,0,69.0
C101939,Chef,27933.0,Low,7,0.5849331054210998,0.9983334,0.8743132779932122,CRITICAL,26.25,1.67,0,1,131830.05,17,8,6.1545,2,0,41.0
C102418,Entrepreneur,16039.0,Low,7,0.5865879734598685,0.99750227,0.8742279970718351,CRITICAL,46.24,5.17,0,3,123114.41,18,3,129.8783,2,0,28.0
C100550,Freelancer,18426.0,Low,7,0.5902536884391516,0.9958482,0.8741698317362132,CRITICAL,15.43,19.12,1,3,131651.44,27,9,111.6831,1,0,83.0
C100970,Entrepreneur,54906.0,Low,5,0.585623084457213,0.9974027,0.873868852541296,CRITICAL,7.75,0.05,1,1,128161.3,26,8,0.0,3,0,53.0
C102206,Mechanic,38230.0,Medium,6,0.5817050685462124,0.997769,0.8729498073451747,CRITICAL,12.82,0.01,0,2,107571.41,21,4,116.2235,1,0,82.0
C100359,Store Owner,5167.0,Low,9,0.5779714170490249,0.998847,0.872584306698875,CRITICAL,41.63,13.32,2,2,138404.96,21,2,31.6592,2,0,100.0
C101047,Store Owner,6832.0,High,9,0.5729741378415387,0.9992887,0.871394292229079,CRITICAL,40.7,14.25,0,3,63543.79,24,5,2.0603,2,0,74.0
C101424,Accountant,56188.0,Low,5,0.5803287068003995,0.994896,0.8705257785020644,CRITICAL,4.01,2.5,0,4,98976.43,28,5,0.0,2,0,83.0
C101898,Freelancer,15827.0,Medium,7,0.5753811224930936,0.996999,0.8705136187265352,CRITICAL,26.11,5.64,0,3,122108.76,20,3,140.0461,1,0,79.0
C101968,Consultant,7334.0,Medium,8,0.5704281156926023,0.9986047,0.8701517410775622,CRITICAL,28.84,4.14,0,3,83601.8,20,7,0.0,5,0,38.0
C102128,Accountant,41767.0,High,6,0.5677605345647692,0.9985045,0.8692813120723116,CRITICAL,10.5,1.83,0,1,135638.66,24,8,36.896,1,0,35.0
C101975,Store Owner,9663.0,Low,8,0.5686112020608239,0.9978096,0.8690500788151161,CRITICAL,16.06,4.59,1,1,121731.96,30,5,61.3362,2,0,49.0
C102428,Store Owner,21253.0,Low,7,0.5730674966444043,0.99532276,0.8686461539348801,CRITICAL,8.19,27.87,0,4,125277.96,28,6,3.8342,2,0,80.0
C100997,Chef,11623.0,Medium,7,0.5694465631412422,0.99653083,0.8684055445840048,CRITICAL,59.13,11.05,0,3,159304.57,27,6,25.914,1,0,41.0
C102093,Chef,7766.0,Low,6,0.94161649913022,0.83697283,0.868365944535819,CRITICAL,44.17,9999.0,0,4,192074.54,30,3,29.4425,0,0,63.0
C101632,Store Owner,23860.0,High,8,0.7276301794493645,0.9276774,0.8676632408274546,CRITICAL,6.05,15.23,0,0,83511.23,25,6,4.5527,1,0,74.0
C101588,Entrepreneur,5161.0,Low,8,0.5596053815748652,0.99714464,0.8658828799982774,CRITICAL,99.39,8.4,0,1,123444.62,23,7,24.7381,1,0,61.0
C102423,Accountant,22180.0,Medium,8,0.5535028747426567,0.9994917,0.865695010772559,CRITICAL,34.72,0.16,0,2,105740.28,17,3,0.0,2,0,52.0
C100421,Mechanic,4902.0,Medium,8,0.5555399949674643,0.9985008,0.8656125871933948,CRITICAL,82.14,5.92,0,1,147533.41,17,4,0.0,1,0,65.0
C100228,Chef,10383.0,Low,8,0.5525682704406262,0.99891806,0.8650131325947428,CRITICAL,33.57,11.68,1,2,99948.53,15,4,38.842,3,0,62.0
C101776,Mechanic,27651.0,Medium,8,0.5515723875965506,0.9989164,0.8647131756486246,CRITICAL,5.37,3.9,2,3,100583.11,27,5,9.9822,5,0,67.0
C101084,Nurse,48414.0,High,6,0.5717309322877282,0.9899255,0.8644671442187891,CRITICAL,2.91,25.43,0,0,84965.69,20,1,4.9177,2,0,60.0
C101167,Teacher,7349.0,Low,8,0.5549591491787556,0.9970145,0.8643978747775829,CRITICAL,67.72,1.72,0,1,170196.35,24,7,60.9484,1,0,66.0
C101854,Trader,11775.0,Low,7,0.5767402143099947,0.9875278,0.8642915216332389,CRITICAL,9.91,9999.0,4,1,102917.65,29,4,3.1703,0,0,15.0
C100546,Driver,13744.0,Low,6,0.7490404147067724,0.9135338,0.8641858010935503,CRITICAL,44.97,9999.0,2,0,148702.29,21,3,89.3316,0,0,85.0
C102375,Freelancer,11892.0,High,8,0.5474800411608024,0.99923503,0.8637085122986496,CRITICAL,17.16,7.87,0,5,95783.91,30,5,21.2553,2,0,68.0
C101695,Dentist,17605.0,High,8,0.5450111471178001,0.9996637,0.863267953472193,CRITICAL,41.6,23.17,0,1,152531.71,20,5,0.0,1,0,51.0
C101680,Teacher,27311.0,Low,8,0.5468002817295764,0.9987093,0.8631365853924386,CRITICAL,21.95,23.35,0,1,105877.6,17,1,38.2403,1,0,57.0
C101180,Lawyer,17367.0,High,6,0.5458829464159289,0.9988502,0.8629600304854477,CRITICAL,10.57,9.09,0,2,91723.78,27,9,0.0,3,0,49.0
C100138,Designer,11144.0,Low,8,0.5450490963703398,0.9991961,0.8629519895388486,CRITICAL,43.96,10.9,0,1,144165.93,28,5,52.2354,2,0,75.0
C102018,Consultant,16576.0,Medium,9,0.5429078123045508,0.9995425,0.8625520760140581,CRITICAL,35.17,1.42,0,2,146724.67,22,6,4.0674,2,0,49.0
C102063,Driver,10107.0,Medium,6,0.5785684518540721,0.983961,0.8623432139314657,CRITICAL,58.45,23.39,1,0,135995.34,23,3,88.5216,1,0,88.0
C100489,Store Owner,37358.0,Medium,7,0.5423303381430242,0.99931824,0.8622218351312617,CRITICAL,16.7,0.54,1,1,129902.42,21,4,0.0,1,0,24.0
C101502,Designer,11844.0,Low,8,0.5415280959743854,0.9992162,0.8619097561162292,CRITICAL,29.2,0.18,0,1,139707.19,29,9,19.0237,1,0,80.0
C102077,Mechanic,11238.0,Medium,7,0.5428970378169914,0.9980248,0.8614864504793137,CRITICAL,31.96,15.06,0,1,89709.66,23,3,294.6851,2,0,31.0
C102497,Freelancer,8886.0,Medium,6,0.5513192998327063,0.9941445,0.8612969454216136,CRITICAL,45.65,24.42,0,0,171312.48,25,6,9.7985,1,0,51.0
C101426,Accountant,2197.0,Low,7,0.5394904364650315,0.9971193,0.8598306342811842,CRITICAL,71.16,3.78,0,3,55777.3,22,3,22.4378,3,0,64.0
C100776,Consultant,12458.0,Low,5,0.5394602680890364,0.9964948,0.859384443303603,CRITICAL,13.56,1.41,1,1,106387.81,25,5,31.5212,1,0,33.0
C100492,Consultant,7174.0,Low,6,0.5901773227009066,0.9746548,0.8593115643487241,CRITICAL,22.86,9999.0,2,4,99319.5,20,5,74.4103,0,0,65.0
C100270,Dentist,13231.0,High,5,0.7746725323746437,0.8935844,0.8579107833787749,CRITICAL,35.96,9999.0,0,6,147117.19,24,5,232.1934,0,0,52.0
C102218,Chef,16403.0,Medium,8,0.5273704114164334,0.9992793,0.8577066177906222,CRITICAL,9.77,3.39,2,3,110211.32,29,6,4.9526,3,0,47.0
C101508,Nurse,26524.0,Medium,10,0.5251512339276097,0.99979454,0.8574015322495109,CRITICAL,16.94,15.03,1,1,107284.23,18,5,23.7752,1,0,76.0
C101141,Student,12007.0,Medium,10,0.5252423917076153,0.99963784,0.8573192070371259,CRITICAL,27.79,17.69,3,2,154713.99,26,4,11.0088,1,0,20.0
C101722,Nurse,16815.0,Medium,8,0.5275051618743746,0.9985416,0.8572306282856705,CRITICAL,19.68,10.52,0,1,73060.67,23,3,1.5343,1,0,66.0
C100435,Dentist,6995.0,Low,9,0.5274866136362486,0.99802256,0.8568617735043267,CRITICAL,51.88,22.17,2,0,126678.1,22,5,94.5814,1,0,100.0
C100384,Accountant,11214.0,High,8,0.5231355950423635,0.9996661,0.8567069567796157,CRITICAL,34.35,24.12,1,1,110467.19,26,4,18.5544,1,0,18.0
C100758,Trader,20058.0,Low,6,0.5776672238930309,0.97615355,0.8566076360590531,CRITICAL,33.68,9999.0,3,1,124270.11,17,4,0.0,0,0,35.0
C101239,Freelancer,3370.0,Medium,7,0.5297367693297821,0.9956607,0.855883506575607,CRITICAL,78.01,15.66,0,2,62171.47,12,1,0.0,1,0,69.0
C101518,Designer,3362.0,Medium,7,0.5322419233059958,0.9934615,0.8550955840032123,CRITICAL,50.49,23.05,0,0,68448.32,15,2,23.2579,1,0,36.0
C100514,Dentist,19060.0,Low,6,0.5950833214487887,0.9664952,0.8550716296781974,CRITICAL,33.21,12.93,0,0,111568.97,16,5,70.0109,2,0,61.0
C100318,Dentist,19212.0,Low,9,0.5172082261293023,0.9995153,0.8548231862798001,CRITICAL,18.22,4.14,0,4,121405.6,26,4,4.9844,2,0,57.0
C102366,Freelancer,26366.0,Low,5,0.525686629507903,0.99535984,0.8544578814190518,CRITICAL,6.02,5.42,0,2,90903.38,28,3,98.2617,1,0,33.0
C101740,Designer,23303.0,Medium,8,0.5174249635343328,0.99860793,0.8542530604065828,CRITICAL,8.06,16.26,2,1,74099.59,14,6,16.3665,2,0,77.0
C100372,Freelancer,21563.0,Low,8,0.5152629405542387,0.9989384,0.853835719534283,CRITICAL,7.97,8.66,2,2,95687.75,26,7,0.0,2,0,71.0
C100251,Consultant,14701.0,High,7,0.5163725572062808,0.9976572,0.8532717930446052,CRITICAL,13.15,7.35,0,2,99585.91,24,8,21.7156,4,0,76.0
C102398,Entrepreneur,8760.0,Low,9,0.5114040945919839,0.99931777,0.8529436640427258,CRITICAL,35.87,26.05,2,4,127793.51,26,5,22.065,1,0,100.0
C101443,Dentist,41935.0,High,10,0.5121877509708344,0.998979,0.8529415940748196,CRITICAL,3.23,8.78,1,2,96503.58,25,7,3.8989,3,0,48.0
C101595,Entrepreneur,12274.0,High,5,0.9220244132400383,0.8226216,0.8524424327290305,CRITICAL,80.78,9999.0,0,2,120429.29,15,3,32.7159,0,0,77.0
C100230,Freelancer,16661.0,Low,9,0.5073466989101971,0.9996381,0.8519506780118348,CRITICAL,10.38,24.14,3,3,121597.18,26,6,16.8068,1,0,92.0
C101400,Freelancer,28239.0,Low,6,0.51305763220578,0.9970156,0.8518281945460724,CRITICAL,4.38,26.74,0,1,54878.16,22,7,116.5897,1,0,43.0
C101200,Student,14848.0,High,8,0.5099815498234334,0.9977756,0.8514374008906336,CRITICAL,15.78,3.79,0,0,94535.19,21,6,0.0,1,0,85.0
C101284,Designer,2366.0,Low,7,0.5085573644493875,0.9974222,0.8507627263979571,CRITICAL,120.14,21.5,1,3,63652.83,14,4,3.0596,1,0,42.0
C100944,Chef,6621.0,Low,6,0.5319051212000911,0.98717356,0.8505930383780022,CRITICAL,86.93,12.66,1,1,97489.16,15,3,1.6533,2,0,56.0
C101225,Designer,7629.0,Low,9,0.5043816045205713,0.99857795,0.8503190122628487,CRITICAL,39.51,2.86,2,0,144728.35,23,7,16.8048,1,0,82.0
C101321,Student,21677.0,Medium,6,0.5093729390680284,0.9963505,0.8502572147244063,CRITICAL,24.06,25.37,0,0,127466.49,24,5,0.0,1,0,25.0
C100837,Accountant,7577.0,Medium,6,0.8159876976562848,0.8644515,0.8499123786137495,CRITICAL,43.24,9999.0,0,1,139083.5,29,6,43.6731,0,0,59.0
C101223,Student,16597.0,Medium,7,0.5061984988573394,0.9965699,0.849458424226141,CRITICAL,36.18,25.25,0,1,131052.84,24,4,0.0,1,0,44.0
C101115,Software Engineer,34170.0,Low,9,0.5001391559268702,0.9990701,0.84939079253154,CRITICAL,5.06,2.48,0,1,65322.65,15,2,3.4415,2,0,100.0
C101637,Freelancer,13015.0,Low,8,0.505745149542456,0.99663615,0.849368851449956,CRITICAL,22.78,26.58,0,3,141699.5,16,3,11.3707,1,0,44.0
C101836,Freelancer,26340.0,Low,7,0.5050707743099756,0.99616987,0.8488401438454218,CRITICAL,25.73,17.71,0,1,136556.6,18,8,18.9873,2,0,92.0
C100517,Designer,24958.0,Low,7,0.5210014994261847,0.9885125,0.8482591752802785,CRITICAL,30.21,9999.0,0,3,129922.25,24,6,5.2062,0,0,57.0
C100103,Lawyer,10872.0,High,7,0.518335360713587,0.9896171,0.8482325847231703,CRITICAL,30.83,9999.0,0,4,107073.46,20,1,11.6796,0,0,44.0
C102213,Consultant,29033.0,Low,5,0.5070088632167196,0.9941626,0.8480165102261548,CRITICAL,9.78,27.54,0,1,144653.76,26,5,0.0,1,0,78.0
C100618,Freelancer,5823.0,Medium,9,0.49234786294264576,0.9993961,0.8472816308211177,CRITICAL,25.83,22.7,0,3,82650.18,25,5,5.7145,1,0,53.0
C100672,Chef,40009.0,High,6,0.49547100822403856,0.9976846,0.8470205210455501,CRITICAL,7.54,13.18,0,2,121006.34,21,5,0.0,2,0,54.0
C101028,Designer,47312.0,Low,8,0.4923285031534247,0.99898034,0.8469847734039131,CRITICAL,3.65,9.12,0,2,71406.4,18,4,5.8727,1,0,64.0
C101283,Freelancer,6753.0,Medium,7,0.5215054334210693,0.9864516,0.8469677442612451,CRITICAL,24.97,9999.0,2,1,95977.76,17,5,28.5301,0,0,75.0
C101277,Store Owner,13913.0,Low,9,0.489588967861466,0.9989924,0.8461713766758836,CRITICAL,18.7,29.02,0,3,96021.31,23,7,62.3213,1,0,58.0
C102290,Driver,11177.0,Medium,5,0.7924362897549857,0.86877966,0.8458766603372928,CRITICAL,27.02,9999.0,0,3,134318.84,27,1,20.1315,0,0,98.0
C102034,Nurse,13863.0,Low,8,0.4880825212091746,0.9985728,0.845425710990743,CRITICAL,20.63,11.1,1,1,113317.72,19,2,0.0,2,0,41.0
C102232,Driver,21017.0,Low,6,0.49547279078057693,0.99531376,0.8453614836880305,CRITICAL,16.79,3.54,0,0,95950.14,18,3,1.5887,3,0,40.0
C100214,Chef,18840.0,Low,7,0.4889046975852299,0.9978676,0.8451787182355299,CRITICAL,17.25,4.65,0,4,129453.61,23,7,2.6067,1,0,78.0
C101505,Software Engineer,16161.0,High,8,0.4842806656224685,0.99945146,0.8449002146441685,CRITICAL,22.47,24.91,0,2,107780.01,16,3,1.9066,1,0,34.0
C102312,Accountant,24836.0,Medium,7,0.4870831750168956,0.9979887,0.8447170192699002,CRITICAL,26.88,24.04,0,1,137083.47,23,4,54.3376,1,0,58.0
C101969,Teacher,12329.0,High,6,0.564134397745951,0.9631059,0.8434144492867064,CRITICAL,33.2,9999.0,0,0,67809.54,14,2,3.7756,0,0,25.0
C100474,Mechanic,14201.0,Low,5,0.48770470580162095,0.9957628,0.8433453534862443,CRITICAL,7.41,0.58,0,1,102861.86,29,3,10.8001,2,0,80.0
C100666,Teacher,7946.0,Low,6,0.5019777446188365,0.9890842,0.842952234423096,CRITICAL,23.02,9.98,0,0,99741.4,27,6,0.0,2,0,48.0
C100237,Nurse,18492.0,Medium,10,0.4776820641450855,0.9994387,0.8429116935042373,CRITICAL,28.99,8.53,1,2,167467.01,21,8,18.8127,2,0,80.0
C100506,Software Engineer,13664.0,Low,6,0.47728777759658736,0.9990977,0.8425546909373625,CRITICAL,11.57,14.32,0,1,101976.12,25,2,11.5616,1,0,50.0
C101106,Store Owner,14220.0,Low,7,0.4953110191750699,0.9912828,0.8424912683227114,CRITICAL,17.86,9999.0,0,2,91797.54,29,2,5.0505,0,0,24.0
C101561,Trader,21366.0,Low,7,0.4806200809183876,0.9975459,0.8424681468875158,CRITICAL,18.3,20.88,1,3,155864.69,22,3,15.8938,1,0,61.0
